County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
LOWER YATTA,"12,281","11,247","3,502",,"8,902","1,185","1,233",,"8,227",888,100,681,525,,691,570,"1,524",178,87,
MATINYANI,"10,531","10,104","2,111",,"9,620","2,966","1,327",,"4,150","1,623",81,499,335,,161,157,"1,618",260,25,
MIGWANI,"17,012","16,066","4,482",,"14,899","4,481","1,640",,"9,685","2,235",84,631,412,,882,510,"1,245",413,69,
MUMONI,"5,646","3,538","4,499",,"1,549",630,154,,"4,536",110,19,113,68,,"4,403",620,345,38,146,
MUTITU,"9,766","7,928","5,245",,482,856,438,,"6,909",403,72,439,338,,"4,657","1,193",911,146,51,
MUTITU NORTH,"4,303","3,889","2,244",,846,323,108,,"3,265",163,23,149,114,,"1,648",475,469,42,21,
MUTOMO,"19,832","18,067","11,975",,"3,898","2,664","1,192",,"15,363",581,99,627,482,,"7,983","1,967","1,618",186,103,
MWINGI CENTRAL,"19,371","16,328","10,483",,"10,494","2,220",839,,"12,640",812,114,918,423,,"6,105","1,339","1,872",324,86,
MWINGI EAST,"15,945","10,679","10,592",,"1,984",606,116,,"11,385",180,45,257,151,,"9,718","2,389","1,023",84,74,
NZAMBANI,"9,189","8,618","3,224",,"6,075","2,743","1,113",,"3,606","1,308",102,738,465,,756,434,"1,397",226,161,
THAGICU,"2,968",311,"2,127",,43,21,7,,"2,394",62,16,38,13,,"2,364",219,48,29,175,
TSEIKURU,"7,353","1,543","6,231",,143,452,45,,"6,289",93,40,198,107,,"6,232","2,299",462,89,721,
MACHAKOS,"231,341","211,089","22,077","-    12,704","194,467","60,602","37,625",,"55,800","60,821","5,394","16,758","9,110",,"4,514","4,679","40,521","9,053",,
ATHI RIVER,"13,071","8,395",628,-801,"7,655","1,607","1,622",,"1,175","1,964",741,"1,747","1,466",,274,509,"3,530",755,,
