County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
Male,"13,086","1,713","7,335","2,689",465,127,71,586,100,
Female,"9,617","1,678","5,839","1,288",181,29,77,418,106,1
KOTULO,"18,807","1,923","10,810","4,010",589,248,37,"1,114",76,
Male,"10,129",875,"5,494","2,531",440,192,22,529,46,
Female,"8,677","1,048","5,315","1,479",149,56,15,585,30,
LAFEY,"13,505","1,251","6,970","3,403",283,139,104,"1,266",88,1
Male,"6,945",577,"3,348","1,979",196,96,64,645,39,1
Female,"6,560",674,"3,622","1,424",87,43,40,621,49,
MANDERA CENTRAL,"40,307","3,836","22,950","8,477","1,215",397,82,"2,937",280,133
Male,"20,137","1,596","10,812","5,004",814,320,42,"1,348",130,71
Female,"20,169","2,240","12,138","3,472",401,77,40,"1,589",150,62
MANDERA EAST,"48,557","3,253","26,137","13,353","2,029","1,348",87,"2,181",169,
Male,"28,744","1,690","14,445","8,874","1,360","1,057",55,"1,162",101,
Female,"19,813","1,563","11,692","4,479",669,291,32,"1,019",68,
MANDERA NORTH,"28,792","2,954","17,894","6,163",715,282,74,625,85,
Male,"16,734","1,510","10,097","3,931",528,241,34,349,44,
Female,"12,058","1,444","7,797","2,232",187,41,40,276,41,
MARSABIT,"146,569","20,707","82,364","30,428","6,877","4,611",210,778,378,216
Male,"78,922","10,355","41,996","18,352","4,041","3,310",114,406,238,110
Female,"67,643","10,352","40,365","12,075","2,836","1,301",96,372,140,106
LOIYANGALANI,"8,271","1,387","4,779","1,531",362,174,17,,21,
Male,"4,155",630,"2,161",957,243,144,8,,12,
Female,"4,115",757,"2,617",574,119,30,9,,9,
MARSABIT CENTRAL,"43,011","5,032","22,939","10,002","2,661","2,147",31,23,176,
Male,"22,802","2,544","11,623","5,654","1,380","1,467",18,8,108,
Female,"20,207","2,488","11,315","4,347","1,281",680,13,15,68,
MARSABIT NORTH,"12,276","1,854","7,143","2,331",564,314,22,19,29,
Male,"6,375",912,"3,455","1,374",336,248,12,14,24,
Female,"5,901",942,"3,688",957,228,66,10,5,5,
MARSABIT SOUTH,"14,999","2,433","8,158","3,114",772,424,48,,39,11
Male,"7,702","1,109","3,758","1,941",517,336,12,,23,6
Female,"7,297","1,324","4,400","1,173",255,88,36,,16,5
MOYALE,"43,034","6,037","25,085","8,561","1,461","1,053",38,727,61,11
Male,"24,024","3,142","13,503","5,339",866,730,22,377,39,6
Female,"19,010","2,895","11,582","3,222",595,323,16,350,22,5
NORTH HORR,"8,597","1,298","4,482","1,843",493,246,21,2,24,188
Male,"4,886",657,"2,412","1,178",328,183,17,1,15,95
Female,"3,710",641,"2,069",665,165,63,4,1,9,93
SOLOLO,"16,381","2,666","9,778","3,046",564,253,33,7,28,6
Male,"8,978","1,361","5,084","1,909",371,202,25,6,17,3
Female,"7,403","1,305","4,694","1,137",193,51,8,1,11,3
ISIOLO,"129,220","17,498","67,106","31,730","7,514","3,955",126,"1,053",201,37
Male,"68,403","8,893","33,651","18,416","3,917","2,667",60,650,128,21
Female,"60,816","8,604","33,455","13,314","3,597","1,288",66,403,73,16
GARBATULLA,"34,291","4,871","20,252","7,063",851,414,44,739,45,12
Male,"18,837","2,488","10,556","4,453",548,312,25,418,29,8
Female,"15,454","2,383","9,696","2,610",303,102,19,321,16,4
ISIOLO,"77,157","9,478","36,788","21,141","6,053","3,303",76,172,121,25
Male,"40,237","4,826","18,215","11,824","2,980","2,158",32,114,75,13
Female,"36,920","4,652","18,573","9,317","3,073","1,145",44,58,46,12
MERTI,"17,772","3,149","10,066","3,526",610,238,6,142,35,
Male,"9,329","1,579","4,880","2,139",389,197,3,118,24,
Female,"8,442","1,569","5,186","1,387",221,41,3,24,11,
MERU,"1,216,440","117,222","701,141","283,746","75,179","33,250","1,672",47,"3,801",382
Male,"610,726","60,337","355,034","137,439","35,548","19,269",695,25,"2,176",203
Female,"605,685","56,884","346,087","146,301","39,631","13,980",976,22,"1,625",179
BUURI EAST,"64,905","4,330","35,957","17,730","4,863","1,694",94,3,202,32
Male,"32,790","2,273","18,513","8,544","2,342",955,20,1,124,18
Female,"32,115","2,057","17,444","9,186","2,521",739,74,2,78,14
BUURI WEST,"68,643","5,100","36,899","20,945","3,942","1,533",89,3,124,8
Male,"34,638","2,594","18,872","10,286","1,908",871,25,3,76,3
Female,"34,003","2,506","18,025","10,659","2,034",662,64,,48,5
IGEMBE CENTRAL,"159,847","21,007","101,814","28,491","5,445","2,295",184,3,566,42
Male,"80,629","10,746","51,806","13,829","2,461","1,360",97,3,305,22
Female,"79,215","10,261","50,006","14,662","2,984",934,87,,261,20
IGEMBE NORTH,"113,067","14,096","71,317","20,882","4,383","1,725",174,1,438,51
